peak_ground_acceleration,density,internal_friction_angle,rock_cohesion,slope,m_before,m_after,time
0.88,26.5,44,40,42.1800003,0,0.737017301,2011
0.84,26.5,44,40,44.0985985,0,0.737017301,2011
0.84,26.5,44,40,40.4943008,0,0.737017301,2011
0.86,26.5,44,40,46.5096016,0,0.737017301,2011
0.86,26.5,44,40,20.8215008,0,0.737017301,2011
0.86,26.5,44,40,38.0470009,0,0.737017301,2011
0.88,26.5,44,40,34.9692993,0,0.804695506,2011
0.88,26.5,44,40,50.1797981,0,0.833958769,2011
0.88,26.5,44,40,42.5657997,0,0.833958769,2011
0.88,26.5,44,40,42.0458984,0,0.833958769,2011
0.88,26.5,44,40,43.9887009,0,0.833958769,2011
0.88,26.5,44,40,36.3216019,0,0.833958769,2011
0.88,26.5,44,40,46.9696007,0,0.833958769,2011
0.88,26.5,44,40,39.0747986,0,0.833958769,2011
0.9,26.5,44,40,47.985199,0,0.833958769,2011
0.9,26.5,44,40,49.1288986,0,0.833958769,2011
0.9,26.5,44,40,37.1705017,0,0.833958769,2011
0.9,26.2,42,39,33.5904999,0,0.862284336,2011
0.88,26.5,44,40,32.9180984,0,0.833958769,2011
0.9,26.5,44,40,35.4575996,0,0.833958769,2011
0.9,26.5,44,40,41.8242989,0,0.833958769,2011
0.9,26.5,44,40,30.7877007,0,0.833958769,2011
0.9,26.5,44,40,42.6180992,0,0.833958769,2011
0.9,26.5,44,40,42.8970985,0,0.833958769,2011
0.88,26.5,44,40,44.8630981,0,0.833958769,2011
0.88,26.5,44,40,38.7072983,0,0.833958769,2011
0.88,26.5,44,40,37.7919006,0,0.833958769,2011
0.88,26.5,44,40,41.0326996,0,0.833958769,2011
0.9,26.5,44,40,44.8931999,0,0.833958769,2011
0.88,26.5,44,40,27.9577999,0,0.833958769,2011
0.9,26.5,44,40,28.9929008,0,0.833958769,2011
0.9,26.5,44,40,39.0028,0,0.833958769,2011
0.9,26.5,44,40,46.5698013,0,0.833958769,2011
0.88,26.5,44,40,56.460701,0,0.833958769,2011
0.88,26.5,44,40,55.4253006,0,0.833958769,2011
0.88,26.5,44,40,30.8803997,0,0.833958769,2011
0.88,26.5,44,40,27.2150002,0,0.833958769,2011
0.88,26.5,44,40,36.3904991,0,0.833958769,2011
0.88,26.5,44,40,28.8381996,0,0.833958769,2011
0.88,26.5,44,40,28.6369991,0,0.833958769,2011
0.9,26.5,44,40,42.1741982,0,0.833958769,2011
0.88,26.5,44,40,46.5325012,0,0.833958769,2011
0.88,26.5,44,40,42.2913017,0,0.833958769,2011
0.88,26.5,44,40,45.9500999,0,0.833958769,2011
0.88,26.5,44,40,44.7448997,0,0.737017301,2011
0.88,26.5,44,40,30.5144997,0,0.833958769,2011
0.88,26.5,44,40,52.7078018,0,0.833958769,2011
0.88,26.5,44,40,50.9338989,0,0.833958769,2011
0.88,26.5,44,40,47.3917999,0,0.833958769,2011
0.88,26.5,44,40,31.8104992,0,0.833958769,2011
0.88,26.5,44,40,38.5289001,0,0.833958769,2011
0.88,26.5,44,40,45.0023003,0,0.833958769,2011
0.88,26.5,44,40,41.1083984,0,0.833958769,2011
0.88,26.5,44,40,38.5191994,0,0.833958769,2011
0.88,26.5,44,40,42.8395004,0,0.833958769,2011
0.88,26.5,44,40,46.8820992,0,0.833958769,2011
0.84,26.5,44,40,45.4266014,0,0.743171251,2011
0.84,26.5,44,40,42.5629997,0,0.743171251,2011
0.88,26.5,44,40,53.2391014,0,0.743171251,2011
0.94,26,39,29,26.6814003,0,0.862284336,2011
0.8,27,43,40,35.1057014,0,0.743171251,2011
0.8,27,43,40,35.6861992,0,0.743171251,2011
0.88,26.5,44,40,37.7664986,0,0.804695506,2011
0.8,27,43,40,37.0512009,0,0.743171251,2011
0.8,27,43,40,31.6196003,0,0.743171251,2011
0.8,27,43,40,39.723999,0,0.743171251,2011
0.8,27,43,40,37.8955994,0,0.743171251,2011
0.76,27,43,40,48.968399,0,0.743171251,2011
0.78,27,43,40,47.4366989,0,0.743171251,2011
0.78,26.5,44,40,46.2389984,0,0.743171251,2011
0.78,26.5,44,40,55.5485992,0,0.743171251,2011
0.8,27,43,40,51.8907013,0,0.743171251,2011
0.8,27,43,40,40.9977989,0,0.743171251,2011
0.92,26.5,44,40,33.733799,0,0.862284336,2011
0.8,27,43,40,40.9035988,0,0.743171251,2011
0.8,27,43,40,43.2625999,0,0.743171251,2011
0.82,27,43,40,16.6173,0,0.743171251,2011
0.82,27,43,40,59.0811996,0,0.743171251,2011
0.82,27,43,40,53.5233994,0,0.743171251,2011
0.82,27,43,40,61.7154999,0,0.743171251,2011
0.9,26.5,44,40,44.0761986,0,0.777099783,2011
0.9,26.5,44,40,51.6803017,0,0.777099783,2011
0.88,26.5,44,40,35.1889,0,0.777099783,2011
0.96,27,43,40,46.3181,0,0.777099783,2011
0.88,26.5,44,40,44.4716988,0,0.833958769,2011
0.9,26.5,44,40,40.3139,0,0.777099783,2011
0.96,26.5,44,40,35.6999016,0,0.777099783,2011
0.9,26.5,44,40,34.0856018,0,0.903972047,2011
0.9,26.5,44,40,40.7346001,0,0.903972047,2011
0.9,26.5,44,40,47.4702988,0,0.903972047,2011
0.92,26.5,44,40,28.1639996,0,0.903972047,2011
0.92,26.5,44,40,39.9494019,0,0.903972047,2011
0.92,26.5,44,40,42.1077995,0,0.903972047,2011
0.92,26.5,44,40,28.0041008,0,0.903972047,2011
0.9,26.5,44,40,50.4794998,0,0.777099783,2011
0.9,26.5,44,40,38.6562004,0,0.833958769,2011
0.9,26.5,44,40,40.9401016,0,0.903972047,2011
0.9,26.5,44,40,47.0684013,0,0.903972047,2011
0.9,26.5,44,40,43.3494987,0,0.903972047,2011
0.9,26.5,44,40,46.1539993,0,0.903972047,2011
0.82,27,43,40,47.9758987,0,0.737017301,2011
0.82,27,43,40,36.2910004,0,0.737017301,2011
0.82,27,43,40,52.1269989,0,0.737017301,2011
0.82,27,43,40,23.6128998,0,0.737017301,2011
0.82,26.5,44,40,29.7028999,0,0.873435444,2011
0.8,26.8,36,27,56.6716995,0,0.873435444,2011
0.9,26.2,42,39,41.6020012,0,0.862284336,2011
0.78,26.8,36,27,45.6002998,0,0.873435444,2011
0.78,26.8,36,27,59.3353996,0,0.873435444,2011
0.8,26.8,36,27,55.157299,0,0.831381618,2011
0.8,26.8,36,27,56.6220016,0,0.831381618,2011
0.8,26.8,36,27,51.1875,0,0.873435444,2011
0.8,27,43,40,46.1167984,0,0.873435444,2011
0.8,26.5,44,40,47.3793983,0,0.873435444,2011
0.82,26.5,44,40,50.2582016,0,0.873435444,2011
0.82,26.5,44,40,48.1250992,0,0.873435444,2011
0.82,26.5,44,40,35.2013016,0,0.873435444,2011
0.88,26.5,44,40,28.5699005,0,0.833958769,2011
0.82,26.5,44,40,38.0918007,0,0.873435444,2011
0.82,27,43,40,52.3700981,0,0.737017301,2011
0.7,26.5,44,40,41.6720009,0,0.855295865,2011
0.7,26.5,44,40,38.0098,0,0.855295865,2011
0.7,26.5,44,40,44.797699,0,0.855295865,2011
0.72,26.5,44,40,43.6870003,0,0.855295865,2011
0.72,26.5,44,40,33.8521996,0,0.855295865,2011
0.74,26.5,44,40,45.6845016,0,0.786810756,2011
0.7,26.5,44,40,41.5545998,0,0.851353403,2011
0.68,26.5,44,40,49.3721008,0,0.855295865,2011
0.9,26.2,42,39,34.9700012,0,0.862284336,2011
0.86,26.5,44,40,48.6977005,0,0.804695506,2011
0.68,26.5,44,40,47.8110008,0,0.855295865,2011
